"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","83","3.133","15.7","27.7","31.3","18.1","7.2",".",".",".",".",".",".",".",".",".",".","."
"","101
002","78","2.974","21.8","14.1","32.1","16.7","10.3","2.6","2.6",".",".",".",".",".",".",".",".","."
"","003
101","106","3.250","12.3","38.7","38.7","9.4",".","0.9",".",".",".",".",".",".",".",".",".","."
"","101
004","102","2.975","22.5","21.6","19.6","12.7","18.6","3.9","1.0",".",".",".",".",".",".",".",".","."
"","005
101","82","3.049","14.6","25.6","30.5","20.7","6.1","1.2","1.2",".",".",".",".",".",".",".",".","."
"","101
006","84","2.875","13.1","23.8","27.4","13.1","16.7","3.6","2.4",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","535","3.050","16.6","25.8","29.9","14.8","9.7","2.1","1.1",".",".",".",".",".",".",".",".","."
"Intro to Philos for Jr & Sr","201
001","31","3.306","29.0","9.7","54.8","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","80","2.968","17.5","16.3","35.0","10.0","15.0","2.5","1.3","2.5",".",".",".",".",".",".",".","."
"","210
002","21","3.167","23.8","14.3","33.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","101","3.010","18.8","15.8","34.7","13.9","11.9","2.0","1.0","2.0",".",".",".",".",".",".",".","."
"","001
211","46","3.278","23.9","30.4","26.1","10.9","6.5",".",".","2.2",".",".",".",".",".",".",".","."
"","211
002","88","2.612","9.1","14.8","19.3","19.3","26.1","5.7","2.3","2.3",".",".",".",".",".","1.1",".","."
"Elementary Logic","Course Total","134","2.842","14.2","20.1","21.6","16.4","19.4","3.7","1.5","2.2",".",".",".",".",".","0.7",".","."
"","241
001","102","2.772","21.6","13.7","24.5","11.8","13.7","9.8","3.9","1.0",".",".",".",".",".",".",".","."
"","241
002","76","3.007","11.8","26.3","34.2","17.1","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","178","2.873","17.4","19.1","28.7","14.0","11.2","5.6","3.4","0.6",".",".",".",".",".",".",".","."
"Humanity, Religion&Society","258
001","45","3.111","17.8","28.9","24.4","24.4","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","341
001","196","3.459","30.1","37.2","30.1","1.5","0.5",".","0.5",".",".",".",".",".",".",".",".","."
"","002
341","90","3.811","72.2","17.8","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
341","196","3.000","9.2","24.5","32.7","24.5","7.7",".","0.5","0.5",".",".",".",".",".","0.5",".","."
"","091
341","19","3.794","57.9","26.3","5.3",".",".",".",".","5.3",".",".",".",".","5.3",".",".","."
"","341
092","21","3.262","19.0","28.6","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","341
093","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","25","3.400","28.0","28.0","40.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","21","3.405","38.1","33.3","23.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","341
096","17","3.324","11.8","47.1","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","605","3.373","31.6","28.4","27.1","8.9","2.8",".","0.5","0.3",".",".",".",".","0.2","0.2",".","."
"Hist of Ancient Philosophy","430
001","54","3.398","27.8","46.3","22.2",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","45","2.932","17.8","24.4","17.8","15.6","15.6","6.7",".","2.2",".",".",".",".",".",".",".","."
"French Philos-Existentialsm","440
001","55","3.444","29.1","40.0","18.2","10.9",".",".",".","1.8",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","51","2.833","9.8","11.8","41.2","13.7","21.6","2.0",".",".",".",".",".",".",".",".",".","."
"Recent Philosophy","465
001","16","3.563","31.3","56.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","30","3.317","40.0","20.0","20.0","3.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","22","3.381","45.5","27.3",".","18.2",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","24","3.435","33.3","25.0","29.2","8.3",".",".",".","4.2",".",".",".",".",".",".",".","."
"Spec Topics Phil of Lang","001
517","7","2.571","14.3",".","57.1",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","19","3.324","21.1","36.8","15.8","10.5","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Special Topics in Ethics","543
001","25","3.146","36.0","12.0","24.0","8.0","12.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Philos of Moral Education","550
001","13","3.625","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Philosophy of Mind","551
001","36","3.314","27.8","30.6","19.4","13.9","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","32","3.250","18.8","31.3","46.9",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 259 of 370",""
