"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Ed Admin","502","001","","8","3.500","75.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","700","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin-Teachng&Learng Org I","702","001","","23","3.886","73.9","21.7",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Govern&Admin-Coll&Universty","715","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adm-Pupil Serv El/Scndry Ed","735","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervision of Instruction","740","001","","30","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gov&Admin-Ed for Work Prgms","750","001","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","820","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","25","3.792","60.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Admin of Special Education","835","001","","24","3.938","95.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Org Theory&Behavior in Educ","860","001","","30","3.750","63.3","23.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870","001","","16","3.667","75.0","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","6.3"
"","870","002","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870","003","","13","3.750","46.2","23.1","7.7",".",".",".",".","7.7",".",".",".",".","7.7","7.7",".","."
"The Politics of Education","","Course Total","","40","3.681","60.0","17.5","10.0",".",".",".","2.5","2.5",".",".",".",".","2.5","2.5",".","2.5"
"Theory&Practice-Ed Planning","875","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ed Admin","","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educational Admin","940","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Education Planning","970","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","7","4.000","57.1",".",".",".",".",".",".","14.3",".",".",".","28.6",".",".",".","."
"","990","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".","11.1",".",".",".","."
"","990","012","","6","4.000","33.3",".",".",".",".",".",".","50.0",".",".",".","16.7",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","4.000","25.0",".",".",".",".",".",".","50.0",".",".",".","25.0",".",".",".","."
"","990","027","","10","4.000","40.0",".",".",".",".",".",".","10.0",".",".",".","50.0",".",".",".","."
"","990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","","Page 92 of 370"
