"ENGR MECHANICS & ASTRONA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lin Viscoelastcty&Plastcty","703","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Rheology","722","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Struc Dyn&Dsgn Mech Compnts","740","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
