"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","14","3.214","14.3","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","12","3.208","16.7","58.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
003","10","3.250",".","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","13","3.269","30.8","30.8","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","010
100","11","3.318","18.2","45.5","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","15","3.467","20.0","53.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","13","3.115",".","46.2","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
013","14","3.071","7.1","42.9","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","100
014","11","2.818",".","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
016","10","3.250",".","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","017
100","12","2.875","8.3","8.3","58.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
018","14","3.250","21.4","21.4","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.385","7.7","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","020
100","14","3.393","14.3","50.0","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","15","3.100",".","53.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","100
022","14","2.964",".","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
023","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","024
100","12","3.333","33.3","25.0","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","15","3.267","20.0","40.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","026
100","14","2.929","14.3","14.3","50.0","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","027
100","12","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","15","3.100",".","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","14","3.000",".","21.4","64.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
030","14","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","14","3.357","7.1","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
033","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
034","10","3.350","20.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","035
100","12","2.917","8.3","16.7","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
036","13","3.154","7.7","38.5","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
039","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
040","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
041","10","3.050","10.0","40.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
044","12","2.917",".","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
045","13","3.115","15.4","23.1","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
049","13","3.115","15.4","46.2","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","471","3.208","12.5","39.9","32.1","11.5","2.8","0.6","0.6",".",".",".",".",".",".",".",".","."
"","105
001","10","3.250","30.0","50.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","105
002","9","3.167","11.1","44.4","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","105
003","16","3.500","18.8","56.3","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","105
004","15","3.467","46.7","26.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
005","11","3.273",".","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","13","3.038","15.4","23.1","53.8",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","007
105","14","3.250","14.3","42.9","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","105
008","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 180 of 383",""
