"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3134","3.171","27.9","20.7","23.9","9.6","8.7","2.4","0.8","4.3","",".","0.2","",".","0.6","0.4","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","341","2.603","7.6","13.2","23.2","19.1","27.0","8.8","0.6",".","",".",".","",".",".","0.6",".",".","."
"Sophomore","","688","3.047","17.2","21.9","35.5","12.6","8.9","2.3","1.0","0.1","",".","0.3","",".",".",".","0.1",".","."
"Junior","","779","3.240","29.7","23.6","27.2","8.9","6.8","1.3","1.0","1.0","",".","0.1","",".",".","0.3","0.1",".","."
"Senior","","880","3.257","32.8","23.0","21.7","8.6","7.6","2.3","0.8","1.5","",".","0.5","",".",".","0.6","0.7",".","."
"Undergraduates","","2688","3.108","24.7","21.7","27.0","11.0","10.2","2.8","0.9","0.8","",".","0.3","",".",".","0.3","0.3",".","."
"Special","","29","3.475","31.0","27.6","6.9",".",".",".","3.4","17.2","",".",".","",".",".","3.4",".","10.3","."
"Graduate","","416","3.786","48.6","14.2","5.3","1.0","0.2",".",".","25.7","",".",".","",".","4.3","0.5",".","0.2","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","3134","3.171","27.9","20.7","23.9","9.6","8.7","2.4","0.8","4.3","",".","0.2","",".","0.6","0.4","0.3","0.1","."
