"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","33","4.000","54.5",".",".",".",".",".",".","18.2",".",".",".","27.3",".",".",".","."
"993","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study-Nutrition","Course Total","","4","***","","","","","","","","","","","","","","","",""
