"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502
001","83","3.120","24.1","12.0","47.0",".","15.7","1.2",".","",".","",".","",".",".","",".","",".",".",".","."
"Vet Neuroanatomy&Neurophys","505
001","84","3.416","34.5","19.0","39.3","6.0",".",".",".","",".","",".","",".",".","",".","","1.2",".",".","."
"Veterinary Physiology B","506
001","82","3.433","25.6","39.0","31.7","3.7",".",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Anat-Lrge Domestic Animals","550
001","83","3.382","32.5","19.3","41.0","4.8","2.4",".",".","",".","",".","",".",".","",".","",".",".",".","."
"Veterinary Toxicology","555
001","73","3.295","30.1","19.2","37.0","6.8","6.8",".",".","",".","",".","",".",".","",".","",".",".",".","."
"","675
001","82","2.982","6.1","12.2","67.1","8.5","2.4","3.7",".","",".","",".","",".",".","",".","",".",".",".","."
"","675
002","71","3.063","9.9","21.1","52.1","11.3","2.8","2.8",".","",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","153","3.020","7.8","16.3","60.1","9.8","2.6","3.3","",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699
008","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"COMP BIO
934","Dept. Total","559","3.270","23.6","20.2","44.9","5.7","4.3","1.1","",".","",".","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","3","3.600","33.3",".","33.3",".",".",".","",".","",".","",".",".","",".","",".","33.3",".",".","."
"Prof Yr 1","","412","3.290","24.5","20.6","45.1","4.6","4.1","1.0","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","141","3.181","20.6","19.9","44.0","9.2","5.0","1.4","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","","554","3.268","23.5","20.4","44.9","5.8","4.3","1.1","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","559","3.270","23.6","20.2","44.9","5.7","4.3","1.1","",".","",".","",".",".","",".","",".","0.2",".",".","."
