"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Study","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"408
001
Student Teaching-Japanese","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"422
001
Tchg Child Lit-Elem & Middl","","71","3.965","95.8","2.8",".","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"425
001
Concrn&Constrnt-Tch Yng Chl","","27","3.852","88.9",".","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"449
001
Student Teaching in Italian","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"001
456
Stdt Teach-Sec Schl Spanish","","11","3.950","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","67","3.978","97.0","1.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","66","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"498
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498
002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Middle School","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
001
Health Info for Teachers","","87","3.816","74.7","17.2","5.7","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"504
001
Remedial Reading","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
001
Strategy-Inclusive Schoolng","","78","3.844","76.9","17.9","2.6",".",".","1.3",".",".",".",".",".",".","1.3",".",".","."
"541
001
Org&Adm-School Hlth Progms","","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
001
Teacher Ed-Alcohol & Drugs","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"566
001
Pract-Spec Ed in the Arts","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"570
001
Art-Exceptional Education","","1","***","","","","","","","","","",".",".",".",".",".",".","."
