"L&S","","","","","","","","","","","","","","","","","","","","",""
"","LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","001","","77","3.711","57.1","33.8","6.5",".",".",".","1.3","1.3",".",".",".",".",".",".",".","."
"Organization of Information","551","001","","34","3.868","73.5","26.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","44","3.739","50.0","47.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","8","3.891","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","15","3.943","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Story Telling & Oral Lit","624","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","629","001","","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"School Library/Media Center","641","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651","001","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654","001","","31","3.484","32.3","32.3","35.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Public Library","712","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","26","3.712","42.3","57.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indexing","817","001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Fndations Lib&Info St","950","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Archives: Manuscripts","976","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","13","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"","999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0",".","."
