"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","28","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","14","3.615","28.6","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","170
002","10","3.100","10.0","50.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","003
170","14","3.429","64.3","14.3","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","170
004","13","3.385","38.5","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","170
005","10","3.250","40.0","30.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","006
170","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","76","3.427","36.8","38.2","14.5","1.3","5.3",".","2.6",".",".",".",".",".",".",".",".","1.3"
"","220
001","58","2.526","20.7","15.5","10.3","17.2","15.5","10.3","10.3",".",".",".",".",".",".",".",".","."
"","002
220","49","2.552","16.3","10.2","22.4","20.4","10.2","10.2","8.2",".",".",".",".",".",".","2.0",".","."
"Electrodynamics I","Course Total","107","2.538","18.7","13.1","15.9","18.7","13.1","10.3","9.3",".",".",".",".",".",".","0.9",".","."
"Circuit Analysis","230
001","114","2.536","21.1","4.4","21.9","4.4","34.2","4.4","7.9",".",".",".",".",".",".",".",".","1.8"
"","270
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","13","3.423","30.8","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","16","3.281","18.8","18.8","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","14","3.321","28.6","21.4","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
007","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","98","3.592","49.0","24.5","22.4","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","13","3.462","30.8","38.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","14","3.464","57.1","21.4","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","271
004","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","14","3.500","35.7","57.1",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","006
271","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","85","3.688","62.4","25.9","8.2","1.2",".","1.2","1.2",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","19","3.605","47.4","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Lab","312
001","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Optoelectronics Lab","Course Total","23","3.864","69.6","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"","315
001","11","3.500","54.5",".","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","6","3.083","33.3",".","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
315","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
004","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","36","3.458","44.4","16.7","25.0","13.9",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","63","2.651","14.3","9.5","31.7","9.5","25.4","4.8","4.8",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 113 of 374",""
