"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","94","2.914","11.7","26.6","28.7","18.1","7.4","2.1","4.3",".",".",".",".",".",".",".",".","1.1"
"","154","001","","15","3.033","20.0","13.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","154","002","","13","3.375","23.1","46.2","7.7","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"Clothing Construction II","","Course Total","","28","3.185","21.4","28.6","21.4","14.3","10.7",".",".",".",".",".",".",".",".","3.6",".","."
"Fashion Illustration","210","001","","13","3.154","15.4","46.2","15.4",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","14","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","74","3.042","17.6","25.7","29.7","12.2","4.1","8.1",".","1.4",".",".",".",".",".","1.4",".","."
"Interior Design I","222","001","","35","3.186","8.6","25.7","60.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","225","001","","12","3.042","8.3","25.0","58.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","225","002","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","","Course Total","","18","3.250","22.2","27.8","44.4",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","13","3.500","46.2","30.8","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","73","2.740","6.8","19.2","23.3","30.1","15.1","4.1","1.4",".",".",".",".",".",".",".",".","."
"Textile Science Laboratory","252","001","","15","3.000","40.0","20.0","6.7","6.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320","001","","20","2.975",".","30.0","60.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","50","3.316","42.0","20.0","16.0","6.0","10.0","4.0",".",".",".",".",".",".","2.0",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Special Topics","501","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","","14","3.393","35.7","28.6","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","601","015","","10","3.833","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","12","3.878","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dyeing of Fibrous Material","620","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interior Design III","622","001","","17","2.824","11.8","5.9","41.2","17.6","23.5",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative World Costume","655","001","","16","3.094","25.0","6.3","43.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","691","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 142 of 374",""
