"MEDICINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","",""
"Team Appr-Emergncy Care","448","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","160","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","812","004","","27","3.314","22.2","14.8","63.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","005","","27","3.157","14.8","33.3","44.4",".",".",".","7.4",".",".",".",".",".",".",".",".","."
"","812","006","","25","3.400","28.0","24.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","","Course Total","","79","3.289","21.5","24.1","51.9",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Dermatology Selective","821","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","915","001","","67","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","915","002","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","","Course Total","","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","920","001","","42","3.571","40.5","38.1","19.0",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","920","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","","Course Total","","43","3.570","39.5","39.5","18.6",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Alcohol/Drug Abuse Cl-Mshfd","939","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","940","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","943","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Cardiol Clerkshp-VAH","944","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Electrocardiography-CSC","952","001","","59","3.975","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","953","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Med Clrk-Meriter","957","001","","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Med Clerkshp-CSC","960","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Endocrin/Diabetes Clrk-Milw","961","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Endocrinology Clerkship-CSC","962","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastroenterology Clerk-CSC","965","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology Subintern-CSC","968","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerkshp-CSC","971","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Care-ICU Subintrn-Milw","984","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Medicine-CSC","985","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
