"SURGERY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","",""
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","812","004","","27","3.278","33.3","22.2","29.6","11.1",".",".","3.7",".",".",".",".",".",".",".",".","."
"","812","005","","26","3.175","26.9","19.2","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","812","006","","28","3.355","28.6","28.6","32.1","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","","Course Total","","81","3.271","29.6","23.5","30.9","7.4","7.4",".","1.2",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","920","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","921","001","","8","3.542","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","923","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","924","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","924","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-LaCrosse","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Breast Disease","930","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurgery Clerkship-CSC","935","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Adt Orth-Non-Orth Clerk-CSC","940","001","","10","3.269","10.0","30.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","941","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Upper Extrem Ortho-Marshfld","944","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Otolaryngology Clerk-CSC","948","001","","15","3.706","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Otolaryng Clerk-LaCros","949","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","956","001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergncy Med Clerk-LaCrosse","959","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Burn Surgery Clrkshp (CSC)","961","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","962","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiac Surg Clerkship-CSC","963","001","","9","3.444","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Thoracic Surgery Clerk-CSC","964","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","967","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","967","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
