"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","251","2.956","10.8","12.7","58.6","4.0","9.2","4.0","0.8",".",".",".",".",".",".",".",".","."
"","399","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","079","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615","001","40","3.200","27.5","15.0","35.0","15.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","38","3.000","13.2","10.5","55.3","10.5","2.6","5.3",".","2.6",".",".",".",".",".",".",".","."
"Government Insurance Progs","625","001","25","3.340","32.0","32.0","28.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
